service,tray,diameter_ft,a_col_ft2,flv,u_nf_ft_s,u_design_ft_s,f_hole_eff,u_hole_ft_s,dp_dry_in,dp_tray_in,dp_tray_psi,h_dc_in,h_dc_limit_in,dc_backup_pct,min_load_pct,max_load_pct,turndown_ratio,e_oconnell_pct,e_tray_pct,n_actual_trays,column_height_ft,total_dp_psi,shell_ratio,tray_ratio,relative_installed_cost
General Rectification (T801 basis),Sieve,4.3869,15.1147,0.05197,1.5174,1.2139,0.1000,12.1392,1.7453,3.2065,0.05567,4.4061,13.0000,33.89,62.50,125.00,2.000,76.18,76.18,27,64.00,1.5030,1.0000,1.0000,1.0000
General Rectification (T801 basis),Dual-Flow,3.6129,10.2517,0.05197,1.7450,1.3960,0.2000,6.9800,0.5770,0.9770,0.01696,,,,81.25,125.00,1.538,76.18,63.23,32,74.00,0.5428,0.9522,0.5627,0.8354
General Rectification (T801 basis),Moving Valve,4.3225,14.6745,0.05197,1.5629,1.2503,0.1300,9.6180,0.8081,2.2729,0.03946,3.4757,13.0000,26.74,37.50,125.00,3.333,76.18,76.18,27,64.00,1.0654,0.9853,1.3107,1.0829
General Rectification (T801 basis),Fixed Valve,4.2213,13.9951,0.05197,1.6388,1.3110,0.1200,10.9253,1.1771,2.5675,0.04457,3.8557,13.0000,29.66,56.25,125.00,2.222,76.18,76.18,27,64.00,1.2035,0.9623,1.1111,1.0069
General Rectification (T801 basis),High-Performance MD,3.7587,11.0960,0.05197,1.8968,1.5174,0.1400,10.8386,1.1585,2.0225,0.03511,2.9029,12.5000,23.22,50.00,125.00,2.500,76.18,73.89,28,66.00,0.9832,0.8836,1.1800,0.9725
General Rectification (T801 basis),Ripple (Corrugated),4.1301,13.3971,0.05197,1.6691,1.3353,0.1100,12.1392,1.6535,2.7453,0.04766,3.8434,12.7500,30.14,50.00,125.00,2.500,76.18,83.80,24,58.00,1.1439,0.8532,0.9061,0.8691
General Rectification (T801 basis),HyTrays Apex,2.6578,5.5480,0.05197,3.7935,3.0348,0.2500,12.1392,1.2873,1.8258,0.03170,2.7700,12.2500,22.61,5.62,125.00,22.222,76.18,91.41,22,54.00,0.6974,0.5112,0.9571,0.6450
Fouling / Heavy-Ends Service,Sieve,5.4169,23.0462,0.19518,2.6745,1.7384,0.0750,23.1790,1.7859,3.7214,0.09045,5.3384,13.0000,41.06,76.92,153.85,2.000,33.52,33.52,45,100.00,4.0703,1.0000,1.0000,1.0000
Fouling / Heavy-Ends Service,Dual-Flow,4.4612,15.6313,0.19518,3.0757,1.9992,0.1800,11.1066,0.4101,0.8101,0.01969,,,,100.00,153.85,1.538,33.52,27.82,54,118.00,1.0632,0.9718,0.5697,0.8512
Fouling / Heavy-Ends Service,Moving Valve,5.3375,22.3749,0.19518,2.7547,1.7906,0.0910,19.6767,0.9493,2.8930,0.07032,4.5188,13.0000,34.76,46.15,153.85,3.333,33.52,33.52,45,100.00,3.1643,0.9853,1.3107,1.0829
Fouling / Heavy-Ends Service,Fixed Valve,5.2125,21.3391,0.19518,2.8885,1.8775,0.1020,18.4069,0.9378,2.7882,0.06777,4.5352,13.0000,34.89,69.23,153.85,2.222,33.52,33.52,45,100.00,3.0496,0.9623,1.1111,1.0069
Fouling / Heavy-Ends Service,High-Performance MD,4.6413,16.9186,0.19518,3.3431,2.1730,0.1050,20.6956,1.1855,2.5275,0.06143,4.0024,12.5000,32.02,61.54,153.85,2.500,33.52,32.52,47,104.00,2.8873,0.8911,1.1885,0.9803
Fouling / Heavy-Ends Service,Ripple (Corrugated),5.0999,20.4273,0.19518,2.9420,1.9123,0.0792,24.1448,1.8359,3.3766,0.08207,4.9686,12.7500,38.97,61.54,153.85,2.500,33.52,36.87,41,92.00,3.3649,0.8662,0.9287,0.8849
Fouling / Heavy-Ends Service,HyTrays Apex,3.2819,8.4593,0.19518,6.6863,4.3461,0.2325,18.6928,0.8567,1.8529,0.04504,4.0103,12.2500,32.74,6.92,153.85,22.222,33.52,40.23,38,86.00,1.7114,0.5210,0.9919,0.6623
Vacuum Tower Section,Sieve,8.8381,61.3489,0.01987,9.6749,7.7399,0.1000,77.3989,3.3014,4.7768,0.10504,5.9850,16.0000,37.41,62.50,125.00,2.000,45.85,45.85,18,55.00,1.8908,1.0000,1.0000,1.0000
Vacuum Tower Section,Dual-Flow,7.2788,41.6106,0.01987,11.1261,8.9009,0.2000,44.5044,1.0915,1.4915,0.03280,,,,81.25,125.00,1.538,45.85,38.06,22,65.00,0.7216,0.9733,0.5803,0.8554
Vacuum Tower Section,Moving Valve,8.7084,59.5621,0.01987,9.9651,7.9721,0.1300,61.3237,1.5286,3.0077,0.06614,4.2190,16.0000,26.37,37.50,125.00,3.333,45.85,45.85,18,55.00,1.1905,0.9853,1.3107,1.0829
