service,tray,diameter_ft,flv,u_nf_ft_s,u_design_ft_s,f_hole_eff,dp_dry_in,dp_tray_in,dp_tray_psi,h_dc_in,h_dc_limit_in,dc_backup_pct,min_load_pct,max_load_pct,turndown_ratio,e_oconnell_pct,e_tray_pct,n_actual_trays,column_height_ft,total_dp_psi
General Rectification (T801 basis),Sieve,4.3869,0.05197,1.5174,1.2139,0.1000,1.7453,3.2065,0.05567,4.4061,13.0000,33.89,62.50,125.00,2.000,76.18,76.18,27,64.00,1.5030
General Rectification (T801 basis),HT-01A Hinge,4.2273,0.05197,1.5933,1.2746,0.1400,0.9817,2.4520,0.04257,3.6606,13.0000,28.16,10.00,125.00,12.500,76.18,79.99,26,62.00,1.1068
General Rectification (T801 basis),HT-01B Spring,4.2273,0.05197,1.5933,1.2746,0.1300,1.1386,2.6088,0.04529,3.8175,13.0000,29.37,11.25,125.00,11.111,76.18,79.99,26,62.00,1.1776
General Rectification (T801 basis),HT-01C LipSeal,4.1170,0.05197,1.6388,1.3110,0.1300,1.0551,2.1913,0.03804,3.2481,12.7500,25.48,47.50,125.00,2.632,76.18,77.70,26,62.00,0.9891
General Rectification (T801 basis),HT-02 CVS,3.4828,0.05197,2.5037,2.0030,0.1500,1.7584,3.1414,0.05454,4.5324,13.0000,34.86,50.00,125.00,2.500,76.18,76.18,27,64.00,1.4725
General Rectification (T801 basis),HT-03 GRADEX,3.9058,0.05197,1.8209,1.4567,0.1100,1.6462,2.7509,0.04776,3.8655,12.7500,30.32,37.50,125.00,3.333,76.18,85.32,24,58.00,1.1462
General Rectification (T801 basis),HT-05 PULSAR,4.2273,0.05197,1.5933,1.2746,0.1200,1.4126,2.8828,0.05005,4.0915,13.0000,31.47,31.25,125.00,4.000,76.18,83.80,24,58.00,1.2012
General Rectification (T801 basis),HT-08 VORTEXA,3.4828,0.05197,2.5037,2.0030,0.1500,1.6737,3.0567,0.05307,4.4476,13.0000,34.21,15.62,125.00,8.000,76.18,74.65,27,64.00,1.4328
General Rectification (T801 basis),HyTrays Apex,2.6578,0.05197,3.7935,3.0348,0.2500,1.2873,1.8258,0.03170,2.7700,12.2500,22.61,5.62,125.00,22.222,76.18,91.41,22,54.00,0.6974
Fouling / Heavy-Ends Service,Sieve,5.4169,0.19518,2.6745,1.7384,0.0750,1.7859,3.7214,0.09045,5.3384,13.0000,41.06,76.92,153.85,2.000,33.52,33.52,45,100.00,4.0703
Fouling / Heavy-Ends Service,HT-01A Hinge,5.2199,0.19518,2.8082,1.8253,0.0980,1.1532,3.1096,0.07558,4.7571,13.0000,36.59,12.31,153.85,12.500,33.52,35.20,43,96.00,3.2500
Fouling / Heavy-Ends Service,HT-01B Spring,5.2199,0.19518,2.8082,1.8253,0.1014,1.0772,3.0336,0.07373,4.6810,13.0000,36.01,13.85,153.85,11.111,33.52,35.20,43,96.00,3.1705
Fouling / Heavy-Ends Service,HT-01C LipSeal,5.0837,0.19518,2.8885,1.8775,0.1014,0.9982,2.6023,0.06325,4.1471,12.7500,32.53,58.46,153.85,2.632,33.52,34.19,44,98.00,2.7830
Fouling / Heavy-Ends Service,HT-02 CVS,4.3006,0.19518,4.4129,2.8684,0.1200,1.5815,3.4673,0.08428,5.4182,13.0000,41.68,61.54,153.85,2.500,33.52,33.52,45,100.00,3.7924
Fouling / Heavy-Ends Service,HT-03 GRADEX,4.8229,0.19518,3.2094,2.0861,0.0825,1.6845,3.2552,0.07912,4.9051,12.7500,38.47,46.15,153.85,3.333,33.52,37.54,40,90.00,3.1648
Fouling / Heavy-Ends Service,HT-05 PULSAR,5.2199,0.19518,2.8082,1.8253,0.1140,0.9009,2.8573,0.06945,4.5048,13.0000,34.65,38.46,153.85,4.000,33.52,36.87,41,92.00,2.8474
Fouling / Heavy-Ends Service,HT-08 VORTEXA,4.3006,0.19518,4.4129,2.8684,0.1125,1.7127,3.5985,0.08746,5.5494,13.0000,42.69,19.23,153.85,8.000,33.52,32.85,46,102.00,4.0234
Fouling / Heavy-Ends Service,HyTrays Apex,3.2819,0.19518,6.6863,4.3461,0.2325,0.8567,1.8529,0.04504,4.0103,12.2500,32.74,6.92,153.85,22.222,33.52,40.23,38,86.00,1.7114
Vacuum Tower Section,Sieve,8.8381,0.01987,9.6749,7.7399,0.1000,3.3014,4.7768,0.10504,5.9850,16.0000,37.41,62.50,125.00,2.000,45.85,45.85,18,55.00,1.8908
Vacuum Tower Section,HT-01A Hinge,8.5166,0.01987,10.1586,8.1269,0.1400,1.8571,3.3418,0.07349,4.5581,16.0000,28.49,10.00,125.00,12.500,45.85,48.15,17,52.50,1.2493
Vacuum Tower Section,HT-01B Spring,8.5166,0.01987,10.1586,8.1269,0.1300,2.1538,3.6385,0.08001,4.8548,16.0000,30.34,11.25,125.00,11.111,45.85,48.15,17,52.50,1.3602
Vacuum Tower Section,HT-01C LipSeal,8.2944,0.01987,10.4488,8.3591,0.1300,1.9958,3.1460,0.06918,4.2099,15.7500,26.73,47.50,125.00,2.632,45.85,46.77,18,55.00,1.2453
Vacuum Tower Section,HT-02 CVS,7.0167,0.01987,15.9635,12.7708,0.1500,3.3263,4.7242,0.10389,6.1244,16.0000,38.28,50.00,125.00,2.500,45.85,45.85,18,55.00,1.8700
